model,dataset,model_key,dataset_key,alpha,stc_mean,stc_p05,stc_p50,stc_p95,observed_stc,n,y_defer_rate,error_rate
Mistral,PubMedQA,mistral_7b,pubmedqa,0.05,0.08293098277176378,0.04640881241212147,0.08104668263181258,0.12105342273555574,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.1,0.18038809442188658,0.14148976616517356,0.18149650626891672,0.2195981635105769,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.15000000000000002,0.28468964922742024,0.25077224670829884,0.2854101169279898,0.3200479871476808,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.2,0.32351177416965,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.25,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.30000000000000004,0.32351177416965,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.35000000000000003,0.32351177416965,0.3235117741696499,0.32351177416965,0.32351177416965005,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.4,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965005,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.45,0.32351177416965,0.3235117741696499,0.32351177416965,0.32351177416965005,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.5,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.55,0.32351177416965,0.3235117741696499,0.32351177416964993,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.6000000000000001,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965005,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.65,0.32351177416965,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.7000000000000001,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965005,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.75,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965005,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.8,0.32351177416965,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.8500000000000001,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965005,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.9,0.32351177416964993,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,0.9500000000000001,0.32351177416965,0.3235117741696499,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
Mistral,PubMedQA,mistral_7b,pubmedqa,1.0,0.32351177416965,0.32351177416965,0.32351177416965,0.32351177416965,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
